value,id,label
C-14,1,C-14
Br-82,2,Br-82
Ce-144,3,Ce-144
Hg-203,4,Hg-203
Pm-147,5,Pm-147
Eu-152,6,Eu-152
Gd-153,7,Gd-153
Tm-170,8,Tm-170
Ir-192,9,Ir-192
Hg-197,10,Hg-197
Tl-204,11,Tl-204
Po-210,12,Po-210
Pb-210,13,Pb-210
Ra-226,14,Ra-226
Am-241,15,Am-241
Co-60,16,Co-60
Sr-90,17,Sr-90
Cs-137,18,Cs-137
Pu-239,19,Pu-239
U-nat,20,U-nat
Sr-85,21,Sr-85
Rb-86,22,Rb-86
Y-88,23,Y-88
Sr-89,24,Sr-89
Y-90,25,Y-90
Zr-95,26,Zr-95
Nb-95,27,Nb-95
Mo-99,28,Mo-99
Tc-99m,29,Tc-99m
Ru-103,30,Ru-103
Ru-106,31,Ru-106
Cd-109,32,Cd-109
Cr-51,33,Cr-51
Ga-67,34,Ga-67
In-111,35,In-111
I-131,36,I-131
Kr-85,37,Kr-85
Xe-133,38,Xe-133
Th-232,39,Th-232
K-40,40,K-40
H-3,41,H-3
Be-7,42,Be-7
Na-22,43,Na-22
Na-24,44,Na-24
P-32,45,P-32
S-35,46,S-35
K-42,47,K-42
Ca-45,48,Ca-45
Mn-54,49,Mn-54
Fe-55,50,Fe-55
Sn-113,51,Sn-113
Sb-124,52,Sb-124
I-125,53,I-125
I-129,54,I-129
Te-132,55,Te-132
Ba-133,56,Ba-133
Cs-134,57,Cs-134
Ce-139,58,Ce-139
Ce-141,59,Ce-141
Rn-222,60,Rn-222
Co-57,61,Co-57
Co-56,62,Co-56
Co-58,63,Co-58
Fe-59,64,Fe-59
Ni-63,65,Ni-63
Cu-64,66,Cu-64
Zn-65,67,Zn-65
Se-75,68,Se-75
As-76,69,As-76
Th-228,70,Th-228
Sr-90/Y-90,71,Sr-90/Y-90
Sc-46,72,Sc-46
F-18,73,F-18
Tl-201,74,Tl-201
Yb-169,75,Yb-169
Cl-36,76,Cl-36
Au-198,77,Au-198
Au-199,78,Au-199
Ca-47,79,Ca-47
Mn-56,80,Mn-56
Pb-203,81,Pb-203
Re-188,82,Re-188
Ho-166m,83,Ho-166m
Eu-154,84,Eu-154
Sc-47,85,Sc-47
Sm-153,86,Sm-153
Sr-87m,87,Sr-87m
Tb-160,88,Tb-160
Ga-68,89,Ga-68
I-123,90,I-123
In-113m,91,In-113m
Tc-99,92,Tc-99
Ce-144/Pr-144,93,Ce-144/Pr-144
Ar-41,94,Ar-41
C-11,95,C-11
Ag-110m,96,Ag-110m
Lu-177,97,Lu-177
Pu-238,98,Pu-238
Ge-68/Ga-68,99,Ge-68/Ga-68
U-238,100,U-238
Ru-103/Rh-103m,101,Ru-103/Rh-103m
Ag-110m/Ag-110,102,Ag-110m/Ag-110
Mo-99/Tc-99m,103,Mo-99/Tc-99m
Cd-109/Ag-109m,104,Cd-109/Ag-109m
Ba-140/La-140,105,Ba-140/La-140
Sr-90/Y90,106,Sr-90/Y90
W-185,107,W-185
Bi-207,108,Bi-207
Cm-242,109,Cm-242
Cs-131,110,Cs-131
Pu-242,111,Pu-242
Cm-244,112,Cm-244
Sb-125,113,Sb-125
Eu-155,114,Eu-155
Au-195,115,Au-195
P-33,116,P-33
Am-243,117,Am-243
Ru-106/Rh-106,118,Ru-106/Rh-106
U-234,119,U-234
Multi nuclide,120,Multi nuclide
Eu-122,121,Eu-122
Ta-182,122,Ta-182
U-232,123,U-232
Ga-68/Ge-68,124,Ga-68/Ge-68
I-124,125,I-124
Re-186,126,Re-186
Pa-233,127,Pa-233
Np-237,128,Np-237
Np-237/Pa-233,129,Np-237/Pa-233
Th-229,130,Th-229
U-233,131,U-233
U-236,132,U-236
Pu-239/Pu240,133,Pu-239/Pu240
Cm-243,134,Cm-243
Er-169,135,Er-169
Nb-93m,136,Nb-93m
Nb-94,137,Nb-94
Pu-241,138,Pu-241
Th-230,139,Th-230
U-235,140,U-235
Pu-240,141,Pu-240
Tl-202,142,Tl-202
Xe-127,143,Xe-127
Xe-131m,144,Xe-131m
Pu-239+240,145,Pu-239+240
Ac-228,146,Ac-228
Mn-52,147,Mn-52
Gd-148,148,Gd-148
Ba-140,149,Ba-140
Ho-166,150,Ho-166
Ar-37,151,Ar-37
Te-123m,152,Te-123m
Po-208,153,Po-208
Po-209,154,Po-209
Ra-228,155,Ra-228
Ge-68,156,Ge-68
Cs-137/Ba-137m,157,Cs-137/Ba-137m
AI-26,256,AI-26
CI-36,257,CI-36
Ca-41,258,Ca-41
Tc-95m/Tc-95,259,Tc-95m/Tc-95
La-140,260,La-140
Pa-231,261,Pa-231
TI-201,262,TI-201
Ra-223,263,Ra-223
Ge/Ga-68,264,Ge/Ga-68
Photon emitters radionuclides in the energy range 40- 2000 keV,265,Photon emitters radionuclides in the energy range 40- 2000 keV
"F-18, Cu-64, Tc-99m",266,"F-18, Cu-64, Tc-99m"
"F-18,",267,"F-18,"
30 keV - 2700 keV,268,30 keV - 2700 keV
"Co-60, Lu-177, I-131, Ho-166, Cu-64",269,"Co-60, Lu-177, I-131, Ho-166, Cu-64"
